gene_symbol	Blood and lymphatic system disorders	Cardiac disorders	Ear and labyrinth disorders	Endocrine disorders	Eye disorders	Gastrointestinal disorders	Hepatobiliary disorders	Immune system disorders	Metabolism and nutrition disorders	Musculoskeletal and connective tissue disorders	Nervous system disorders	Pregnancy, puerperium and perinatal conditions	Renal and urinary disorders	Reproductive system and breast disorders	Respiratory, thoracic and mediastinal disorders	Skin and subcutaneous tissue disorders	Vascular disorders
A1BG	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.3
A1CF	0.0	0.2	0.3	0.0	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.2	0.0	0.0	0.2	0.0	0.0
A2M	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.1	0.2	0.2	0.1	0.1	0.1	0.1	0.0	0.0	0.1
A2ML1	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.0	0.0	0.2	0.0
A3GALT2	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.1	0.2	0.1
A4GALT	0.1	0.1	0.1	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.2	0.1	0.0	0.2
A4GNT	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	0.0	0.3
AAAS	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.2	0.3
AACS	0.0	0.2	0.0	0.1	0.0	0.2	0.1	0.0	0.3	0_confirmed	0.0	0.1	0.3	0.0	0.0	0.0	0.0
AADAC	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.2	0.0	0.0	0.1	0.1	0.0	0.2	0.1	0.3	0.1
AADACL2	0.1	0.0	0.0	0.2	0.1	0.3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.2
AADACL3	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.2
AADACL4	0.0	0.2	0.1	0.1	0.0	0.2	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.0	0.3	0.0
AADAT	0.2	0.1	0.1	0.0	0.2	0.1	0.1	0.2	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0
AAGAB	0.0	0.0	0.2	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAK1	0.1	0.0	0.0	0.2	0.1	0_confirmed	0.0	0.0	0.1	0_confirmed	0_confirmed	0.0	0.1	0.1	0_confirmed	0_confirmed	0_confirmed
AAMDC	0.0	0.1	0.2	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.1	0.1
AAMP	0.2	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.0	0.1	0.0	0.1	0.0
AANAT	0.1	0.5	0.1	0.0	0.2	0.3	0.3	0.1	0.0	0.0	0.4	0.0	0.3	0.3	0.1	0.1	0.4
AAR2	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.3	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1
AARD	0.1	0.0	0.0	0.3	0.3	0.0	0.2	0.3	0.1	0.2	0.0	0.0	0.0	0.0	0.2	0.3	0.2
AARS	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0
AARS1	0.2	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.0
AARS2	0.1	0.2	0.2	0.0	0.0	0.1	0.3	0.1	0.0	0.2	0.0	0.0	0.1	0.3	0.3	0.1	0.1
AARSD1	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.0
AASDH	0.2	0.0	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.0	0.2	0.2	0.0
AASDHPPT	0.1	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.3	0.1	0.3
AASS	0.1	0.1	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0
AATF	0.3	0.3	0.0	0.1	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.3	0.1	0.1
AATK	0.2	0.3	0.1	0.2	0.0	0.2	0.2	0.1	0.0	0.3	0.1	0.1	0.3	0.1	0.0	0.0	0.0
ABAT	0.2	0.6	0.4	0.1	0.2	0.3	0.3	0.5	0.1	0.3	0.7	0.1	0.1	0.3	0.2	0.5	0.5
ABCA1	0.1	0.1	0.1	0.0	0.1	0.2	0.3	0.5	0.0	1_confirmed	0.2	0.1	0.0	0.2	0.0	0.1	0.1
ABCA10	0.0	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.2
ABCA11P	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.3	0.2	0.1	0.0	0.2	0.1	0.1	0.0
ABCA12	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.1	0.0	0.2	0.2	0.0	0.0	0.1	0.1	0.0
ABCA13	0.1	0.1	0.1	0.3	0.0	0.2	0.0	0.3	0.1	0.0	0.2	0.0	0.0	0.1	0.2	0.0	0.1
ABCA2	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.2	0.3	0.2	0.0
ABCA3	0.3	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.0	0.2
ABCA4	0.2	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.1	0.2	0.1	0.1	0.0	0.0	0.2	0.0	0.0
ABCA5	0.1	0.2	0.3	0.1	0.2	0.1	0.1	0.1	0.0	0.3	0.1	0.1	0.2	0.2	0.1	0.2	0.2
ABCA6	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0
ABCA7	0.0	0.0	0.3	0.1	0.1	0.3	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.2	0.1	0.2	0.1
ABCA8	0.0	0.0	0.1	0.1	0.2	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.1	0.1
ABCA9	0.2	0.0	0.1	0.0	0.1	0.0	0.2	0.0	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.1	0.0
ABCB1	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
ABCB10	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.2
ABCB11	1.0	0.3	0.6	0.3	0.5	1.0	1.0	1.0	0.8	1.0	1.0	0.1	0.8	0.5	0.8	1.0	1.0
ABCB4	0.3	0.1	0.3	0.0	0.2	0.6	0.6	0.4	0.1	0.7	0.7	0.3	0.1	0.1	0.6	0.8	0.7
ABCB5	0.1	0.0	0.0	0.0	0.0	0_confirmed	0.0	0.1	0.0	0.3	0_confirmed	0.0	0.0	0_confirmed	0_confirmed	0.1	0.0
ABCB6	0.1	0.0	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.1	0.3	0.0	0.2	0.1	0.3	0.2	0.2
ABCB7	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB8	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.3	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0
ABCB9	0.1	0.0	0.2	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0
ABCC1	1_confirmed	1.0	1_confirmed	0.4	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.8	0.8	1_confirmed	1_confirmed	1_confirmed
ABCC10	0.7	0.3	0.1	0.3	0.1	0.6	0.4	0.2	0.4	0.5	0.4	0.1	0.1	0.2	0.4	0.6	0.3
ABCC11	0.2	0_confirmed	0_confirmed	0.0	0.1	0.1	0.1	0.2	0_confirmed	0.1	0_confirmed	0_confirmed	0_confirmed	0_confirmed	0_confirmed	0.1	0_confirmed
